channel_id,country_code,gmv,gross_margin_pct
AMZ,AU,421963.54000000004,0.279525
AMZ,CA,303663.25,0.272675
AMZ,DE,560345.04,0.24710000000000001
AMZ,FR,386160.36000000004,0.24589999999999998
AMZ,UK,601405.47,0.269775
AMZ,US,386789.35,0.287775
DTC,AU,485648.33999999997,0.23670000000000002
DTC,CA,515800.5,0.238025
DTC,DE,419024.37,0.296825
DTC,FR,347976.56,0.249875
DTC,UK,633755.21,0.27895000000000003
DTC,US,532988.85,0.245775
Instagram,AU,544295.89,0.2496
Instagram,CA,550704.4199999999,0.262375
Instagram,DE,346419.93,0.234875
Instagram,FR,554214.6000000001,0.316025
Instagram,UK,460804.21,0.25035
Instagram,US,620123.36,0.270325
TikTok,AU,521698.77999999997,0.233825
TikTok,CA,383139.20999999996,0.23020000000000002
TikTok,DE,551999.4299999999,0.27265
TikTok,FR,668174.4,0.22255
TikTok,UK,504724.91000000003,0.24105000000000001
TikTok,US,641820.86,0.24157499999999998
